concept,type
emd.structure_determination_list.structure_determination.singleparticle_processing.startup_model.emdb_id.@value,string
emd.sample.macromolecule_list.protein_or_peptide.name.@value,string
emd.map.data_type.@value,string
emd.interpretation.additional_map_list.additional_map.spacing.y.@value,integer
emd.interpretation.additional_map_list.additional_map.cell.c.units,string
emd.admin.current_status.processing_site.@value,string
emd.map.origin.sec.@value,integer
emd.admin.authors_list.author.@value,string
emd.sample.name.@value,string
emd.map.cell.beta.units,string
emd.interpretation.additional_map_list.additional_map.format,string
emd.structure_determination_list.structure_determination.microscopy_list.single_particle_microscopy.microscopy_id,integer
emd.interpretation.additional_map_list.additional_map.statistics.minimum.@value,integer
emd.crossreferences.citation_list.primary_citation.journal_citation.title.@value,string
emd.map.annotation_details.@value,string
emd.interpretation.additional_map_list.additional_map.annotation_details.@value,string
emd.interpretation.additional_map_list.additional_map.axis_order.fast.@value,string
emd.sample.supramolecule_list.complex_supramolecule.natural_source.database,string
emd.interpretation.additional_map_list.additional_map.cell.alpha.@value,integer
emd.admin.current_status.code.@value,string
emd.sample.macromolecule_list.ligand.number_of_copies.@value,integer
emd.interpretation.additional_map_list.additional_map.pixel_spacing.x.units,string
emd.interpretation.additional_map_list.additional_map.label.@value,string
emd.interpretation.additional_map_list.additional_map.symmetry.space_group.@value,integer
emd.admin.sites.deposition.@value,string
emd.crossreferences.citation_list.primary_citation.journal_citation.author.order,integer
emd.map.spacing.z.@value,integer
emd.map.format,string
emd.admin.key_dates.map_release.@value,date
emd.map.axis_order.fast.@value,string
emd.sample.macromolecule_list.ligand.molecular_weight.theoretical.units,string
emd.map.axis_order.medium.@value,string
emd.structure_determination_list.structure_determination.singleparticle_processing.initial_angle_assignment.type.@value,string
emd.sample.macromolecule_list.protein_or_peptide.recombinant_expression.recombinant_organism.@value,string
emd.interpretation.additional_map_list.additional_map.dimensions.row.@value,integer
emd.map.contour_list.contour.level.@value,integer
emd.admin.current_status.date.@value,date
emd.crossreferences.pdb_list.pdb_reference.pdb_id.@value,id
emd.sample.supramolecule_list.complex_supramolecule.recombinant_expression.recombinant_organism.ncbi,integer
emd.map.cell.alpha.units,string
emd.map.origin.row.@value,integer
emd.structure_determination_list.structure_determination.microscopy_list.single_particle_microscopy.image_recording_list.image_recording.image_recording_id,integer
emd.interpretation.additional_map_list.additional_map.pixel_spacing.y.units,string
emd.map.pixel_spacing.y.@value,integer
emd.sample.supramolecule_list.complex_supramolecule.recombinant_expression.recombinant_organism.@value,string
emd.structure_determination_list.structure_determination.singleparticle_processing.final_reconstruction.resolution.@value,integer
emd.interpretation.additional_map_list.additional_map.spacing.z.@value,integer
emd.interpretation.additional_map_list.additional_map.statistics.maximum.@value,integer
emd.map.statistics.average.@value,integer
emd.map.cell.b.units,string
emd.admin.keywords.@value,string
emd.map.label.@value,string
emd.sample.macromolecule_list.protein_or_peptide.molecular_weight.theoretical.units,string
emd.structure_determination_list.structure_determination.structure_determination_id,integer
emd.structure_determination_list.structure_determination.singleparticle_processing.startup_model.type_of_model,string
emd.map.dimensions.col.@value,integer
emd.map.cell.c.@value,integer
emd.sample.macromolecule_list.ligand.name.@value,string
emd.map.cell.beta.@value,integer
emd.map.cell.a.units,string
emd.sample.supramolecule_list.complex_supramolecule.parent.@value,integer
emd.interpretation.additional_map_list.additional_map.pixel_spacing.z.@value,integer
emd.admin.key_dates.header_release.@value,date
emd.structure_determination_list.structure_determination.singleparticle_processing.final_angle_assignment.type.@value,string
emd.map.origin.col.@value,integer
emd.map.size_kbytes,integer
emd.map.cell.c.units,string
emd.crossreferences.emdb_list.emdb_reference.details.@value,string
emd.crossreferences.citation_list.primary_citation.journal_citation.first_page.@value,integer
emd.map.pixel_spacing.y.units,string
emd.sample.supramolecule_list.complex_supramolecule.name.@value,string
emd.interpretation.additional_map_list.additional_map.data_type.@value,string
emd.interpretation.additional_map_list.additional_map.dimensions.sec.@value,integer
emd.interpretation.additional_map_list.additional_map.cell.beta.@value,integer
emd.structure_determination_list.structure_determination.microscopy_list.single_particle_microscopy.acceleration_voltage.@value,integer
emd.sample.supramolecule_list.complex_supramolecule.recombinant_expression.database,string
emd.structure_determination_list.structure_determination.singleparticle_processing.image_processing_id,integer
emd.sample.macromolecule_list.protein_or_peptide.sequence.external_references.type,string
emd.interpretation.additional_map_list.additional_map.file.@value,string
emd.structure_determination_list.structure_determination.specimen_preparation_list.single_particle_preparation.buffer.ph.@value,integer
emd.sample.supramolecule_list.complex_supramolecule.natural_source.organism.@value,string
emd.structure_determination_list.structure_determination.singleparticle_processing.final_angle_assignment.software_list.software.name.@value,string
emd.map.statistics.std.@value,integer
emd.admin.key_dates.deposition.@value,date
emd.map.cell.alpha.@value,integer
emd.sample.macromolecule_list.protein_or_peptide.recombinant_expression.recombinant_organism.ncbi,integer
emd.crossreferences.citation_list.primary_citation.journal_citation.journal_abbreviation.@value,string
emd.interpretation.additional_map_list.additional_map.origin.sec.@value,integer
emd.map.contour_list.contour.source.@value,string
emd.interpretation.additional_map_list.additional_map.origin.col.@value,integer
emd.structure_determination_list.structure_determination.microscopy_list.single_particle_microscopy.nominal_defocus_min.@value,integer
emd.structure_determination_list.structure_determination.aggregation_state.@value,string
emd.interpretation.additional_map_list.additional_map.cell.alpha.units,string
emd.crossreferences.citation_list.primary_citation.journal_citation.external_references.type,string
emd.crossreferences.pdb_list.pdb_reference.relationship.in_frame.@value,string
emd.map.pixel_spacing.z.@value,integer
emd.structure_determination_list.structure_determination.microscopy_list.single_particle_microscopy.nominal_defocus_max.units,string
emd.map.statistics.maximum.@value,integer
emd.structure_determination_list.structure_determination.singleparticle_processing.final_reconstruction.resolution.units,string
emd.structure_determination_list.structure_determination.microscopy_list.single_particle_microscopy.illumination_mode.@value,string
emd.structure_determination_list.structure_determination.microscopy_list.single_particle_microscopy.imaging_mode.@value,string
emd.interpretation.additional_map_list.additional_map.cell.a.@value,integer
